date,hour,day,week,month,quarter,year
01-12-2018 14:05,14,1,1st Week,12,Q4,2018
04-02-2015 01:46,1,4,1st Week,2,Q1,2015
08-03-2017 04:28,4,8,2nd Week,3,Q1,2017
05-05-2014 00:40,0,5,1st Week,5,Q2,2014
15-01-2017 05:12,5,15,3rd Week,1,Q1,2017
29-06-2016 17:27,17,29,4th Week,6,Q2,2016
24-10-2020 02:55,2,24,4th Week,10,Q4,2020
20-02-2015 02:34,2,20,3rd Week,2,Q1,2015
16-05-2018 02:46,2,16,3rd Week,5,Q2,2018
11-02-2020 00:49,0,11,2nd Week,2,Q1,2020
04-12-2017 06:13,6,4,1st Week,12,Q4,2017
28-07-2014 17:13,17,28,4th Week,7,Q3,2014
30-10-2020 13:39,13,30,4th Week,10,Q4,2020
19-05-2020 08:26,8,19,3rd Week,5,Q2,2020
09-03-2017 00:31,0,9,2nd Week,3,Q1,2017
30-05-2014 13:45,13,30,4th Week,5,Q2,2014
20-11-2017 14:37,14,20,3rd Week,11,Q4,2017
03-04-2016 01:24,1,3,1st Week,4,Q2,2016
19-09-2014 20:34,20,19,3rd Week,9,Q3,2014
31-07-2018 10:18,10,31,4th Week,7,Q3,2018
15-07-2014 13:01,13,15,3rd Week,7,Q3,2014
02-02-2014 13:37,13,2,1st Week,2,Q1,2014
05-03-2015 12:25,12,5,1st Week,3,Q1,2015
05-02-2019 06:59,6,5,1st Week,2,Q1,2019
18-12-2016 12:33,12,18,3rd Week,12,Q4,2016
17-11-2020 23:22,23,17,3rd Week,11,Q4,2020
03-12-2016 09:13,9,3,1st Week,12,Q4,2016
09-01-2018 15:33,15,9,2nd Week,1,Q1,2018
20-04-2016 03:32,3,20,3rd Week,4,Q2,2016
01-11-2016 00:02,0,1,1st Week,11,Q4,2016
06-11-2016 18:18,18,6,1st Week,11,Q4,2016
22-10-2019 05:38,5,22,4th Week,10,Q4,2019
29-04-2014 21:12,21,29,4th Week,4,Q2,2014
28-02-2018 20:55,20,28,4th Week,2,Q1,2018
01-04-2017 05:02,5,1,1st Week,4,Q2,2017
01-07-2015 07:31,7,1,1st Week,7,Q3,2015
04-11-2014 06:26,6,4,1st Week,11,Q4,2014
25-04-2019 10:18,10,25,4th Week,4,Q2,2019
08-10-2014 03:10,3,8,2nd Week,10,Q4,2014
01-08-2015 19:12,19,1,1st Week,8,Q3,2015
29-06-2014 00:08,0,29,4th Week,6,Q2,2014
07-09-2015 01:50,1,7,1st Week,9,Q3,2015
18-08-2018 11:21,11,18,3rd Week,8,Q3,2018
05-01-2018 12:31,12,5,1st Week,1,Q1,2018
04-09-2018 15:51,15,4,1st Week,9,Q3,2018
25-04-2019 09:55,9,25,4th Week,4,Q2,2019
15-01-2018 18:35,18,15,3rd Week,1,Q1,2018
11-02-2020 19:47,19,11,2nd Week,2,Q1,2020
21-11-2016 04:20,4,21,3rd Week,11,Q4,2016
21-12-2017 05:55,5,21,3rd Week,12,Q4,2017
17-08-2017 16:13,16,17,3rd Week,8,Q3,2017
21-01-2019 05:14,5,21,3rd Week,1,Q1,2019
15-02-2015 14:07,14,15,3rd Week,2,Q1,2015
14-09-2014 21:32,21,14,2nd Week,9,Q3,2014
05-12-2020 15:14,15,5,1st Week,12,Q4,2020
08-01-2020 09:08,9,8,2nd Week,1,Q1,2020
30-04-2018 01:47,1,30,4th Week,4,Q2,2018
27-11-2019 05:38,5,27,4th Week,11,Q4,2019
23-07-2016 00:22,0,23,4th Week,7,Q3,2016
02-04-2017 18:16,18,2,1st Week,4,Q2,2017
19-10-2018 12:22,12,19,3rd Week,10,Q4,2018
20-10-2019 09:55,9,20,3rd Week,10,Q4,2019
12-07-2018 23:00,23,12,2nd Week,7,Q3,2018
06-08-2019 07:02,7,6,1st Week,8,Q3,2019
08-12-2019 03:24,3,8,2nd Week,12,Q4,2019
27-12-2019 07:06,7,27,4th Week,12,Q4,2019
23-04-2020 14:24,14,23,4th Week,4,Q2,2020
09-12-2016 17:45,17,9,2nd Week,12,Q4,2016
29-01-2020 17:35,17,29,4th Week,1,Q1,2020
02-08-2015 14:10,14,2,1st Week,8,Q3,2015
07-02-2016 16:36,16,7,1st Week,2,Q1,2016
22-04-2016 05:08,5,22,4th Week,4,Q2,2016
21-08-2019 02:46,2,21,3rd Week,8,Q3,2019
25-07-2019 21:49,21,25,4th Week,7,Q3,2019
12-12-2017 08:51,8,12,2nd Week,12,Q4,2017
15-12-2020 05:41,5,15,3rd Week,12,Q4,2020
11-09-2014 17:41,17,11,2nd Week,9,Q3,2014
15-05-2017 08:53,8,15,3rd Week,5,Q2,2017
12-11-2016 22:28,22,12,2nd Week,11,Q4,2016
30-05-2018 02:05,2,30,4th Week,5,Q2,2018
25-12-2014 15:47,15,25,4th Week,12,Q4,2014
11-02-2019 17:45,17,11,2nd Week,2,Q1,2019
09-08-2019 00:31,0,9,2nd Week,8,Q3,2019
18-07-2019 10:16,10,18,3rd Week,7,Q3,2019
19-05-2018 21:56,21,19,3rd Week,5,Q2,2018
31-10-2019 02:10,2,31,4th Week,10,Q4,2019
30-08-2020 16:06,16,30,4th Week,8,Q3,2020
03-11-2017 10:45,10,3,1st Week,11,Q4,2017
13-12-2018 07:11,7,13,2nd Week,12,Q4,2018
15-09-2017 04:26,4,15,3rd Week,9,Q3,2017
08-09-2016 11:10,11,8,2nd Week,9,Q3,2016
31-10-2018 05:07,5,31,4th Week,10,Q4,2018
18-04-2015 15:47,15,18,3rd Week,4,Q2,2015
25-08-2016 11:44,11,25,4th Week,8,Q3,2016
03-01-2018 23:46,23,3,1st Week,1,Q1,2018
25-01-2016 14:43,14,25,4th Week,1,Q1,2016
17-06-2018 13:31,13,17,3rd Week,6,Q2,2018
26-06-2015 19:15,19,26,4th Week,6,Q2,2015
11-11-2018 19:00,19,11,2nd Week,11,Q4,2018
22-01-2014 04:19,4,22,4th Week,1,Q1,2014
21-01-2016 11:09,11,21,3rd Week,1,Q1,2016
06-02-2016 01:15,1,6,1st Week,2,Q1,2016
21-05-2014 07:27,7,21,3rd Week,5,Q2,2014
29-07-2014 05:03,5,29,4th Week,7,Q3,2014
26-05-2019 22:33,22,26,4th Week,5,Q2,2019
26-09-2018 16:39,16,26,4th Week,9,Q3,2018
28-01-2016 18:20,18,28,4th Week,1,Q1,2016
25-11-2018 04:35,4,25,4th Week,11,Q4,2018
28-06-2017 22:37,22,28,4th Week,6,Q2,2017
10-01-2019 05:43,5,10,2nd Week,1,Q1,2019
11-01-2017 02:23,2,11,2nd Week,1,Q1,2017
13-01-2021 09:44,9,13,2nd Week,1,Q1,2021
18-02-2018 14:31,14,18,3rd Week,2,Q1,2018
22-06-2018 10:09,10,22,4th Week,6,Q2,2018
19-03-2014 05:06,5,19,3rd Week,3,Q1,2014
20-07-2020 12:43,12,20,3rd Week,7,Q3,2020
27-04-2020 08:57,8,27,4th Week,4,Q2,2020
08-08-2018 13:15,13,8,2nd Week,8,Q3,2018
10-07-2017 15:23,15,10,2nd Week,7,Q3,2017
21-02-2020 03:08,3,21,3rd Week,2,Q1,2020
08-07-2019 05:51,5,8,2nd Week,7,Q3,2019
13-07-2015 04:14,4,13,2nd Week,7,Q3,2015
19-12-2017 04:35,4,19,3rd Week,12,Q4,2017
18-01-2018 20:06,20,18,3rd Week,1,Q1,2018
29-01-2017 14:35,14,29,4th Week,1,Q1,2017
19-11-2019 17:19,17,19,3rd Week,11,Q4,2019
29-11-2016 19:58,19,29,4th Week,11,Q4,2016
12-05-2018 06:05,6,12,2nd Week,5,Q2,2018
25-10-2020 22:42,22,25,4th Week,10,Q4,2020
27-07-2020 06:01,6,27,4th Week,7,Q3,2020
25-05-2020 06:23,6,25,4th Week,5,Q2,2020
24-02-2018 02:47,2,24,4th Week,2,Q1,2018
10-05-2018 10:11,10,10,2nd Week,5,Q2,2018
21-08-2019 05:32,5,21,3rd Week,8,Q3,2019
03-08-2015 03:19,3,3,1st Week,8,Q3,2015
22-06-2014 22:48,22,22,4th Week,6,Q2,2014
14-11-2014 10:30,10,14,2nd Week,11,Q4,2014
05-01-2020 00:06,0,5,1st Week,1,Q1,2020
01-07-2019 04:43,4,1,1st Week,7,Q3,2019
13-07-2018 04:46,4,13,2nd Week,7,Q3,2018
28-11-2014 20:20,20,28,4th Week,11,Q4,2014
12-12-2014 14:49,14,12,2nd Week,12,Q4,2014
12-11-2014 16:15,16,12,2nd Week,11,Q4,2014
17-03-2020 12:40,12,17,3rd Week,3,Q1,2020
07-12-2018 13:52,13,7,1st Week,12,Q4,2018
01-11-2019 20:48,20,1,1st Week,11,Q4,2019
10-03-2018 16:13,16,10,2nd Week,3,Q1,2018
10-09-2014 00:09,0,10,2nd Week,9,Q3,2014
08-08-2016 17:09,17,8,2nd Week,8,Q3,2016
24-11-2018 23:22,23,24,4th Week,11,Q4,2018
01-09-2014 15:02,15,1,1st Week,9,Q3,2014
14-02-2020 00:49,0,14,2nd Week,2,Q1,2020
28-10-2015 04:30,4,28,4th Week,10,Q4,2015
13-03-2014 10:43,10,13,2nd Week,3,Q1,2014
12-08-2015 18:29,18,12,2nd Week,8,Q3,2015
09-04-2016 08:21,8,9,2nd Week,4,Q2,2016
20-08-2020 05:15,5,20,3rd Week,8,Q3,2020
24-09-2020 15:45,15,24,4th Week,9,Q3,2020
02-11-2019 23:34,23,2,1st Week,11,Q4,2019
21-03-2019 00:22,0,21,3rd Week,3,Q1,2019
26-03-2018 22:05,22,26,4th Week,3,Q1,2018
22-03-2016 09:01,9,22,4th Week,3,Q1,2016
27-04-2019 14:43,14,27,4th Week,4,Q2,2019
20-08-2016 00:54,0,20,3rd Week,8,Q3,2016
20-12-2015 21:47,21,20,3rd Week,12,Q4,2015
24-05-2020 21:46,21,24,4th Week,5,Q2,2020
13-12-2014 20:17,20,13,2nd Week,12,Q4,2014
22-01-2020 10:36,10,22,4th Week,1,Q1,2020
21-11-2020 03:20,3,21,3rd Week,11,Q4,2020
03-07-2018 02:49,2,3,1st Week,7,Q3,2018
23-05-2017 06:39,6,23,4th Week,5,Q2,2017
15-05-2019 17:55,17,15,3rd Week,5,Q2,2019
22-11-2015 00:36,0,22,4th Week,11,Q4,2015
12-02-2017 15:41,15,12,2nd Week,2,Q1,2017
06-04-2015 17:44,17,6,1st Week,4,Q2,2015
16-04-2014 17:17,17,16,3rd Week,4,Q2,2014
10-06-2014 23:33,23,10,2nd Week,6,Q2,2014
22-12-2017 22:58,22,22,4th Week,12,Q4,2017
28-01-2019 20:26,20,28,4th Week,1,Q1,2019
01-07-2017 07:40,7,1,1st Week,7,Q3,2017
04-09-2014 18:09,18,4,1st Week,9,Q3,2014
15-01-2016 21:20,21,15,3rd Week,1,Q1,2016
03-06-2017 22:42,22,3,1st Week,6,Q2,2017
15-02-2019 12:23,12,15,3rd Week,2,Q1,2019
09-07-2020 20:52,20,9,2nd Week,7,Q3,2020
07-04-2020 01:22,1,7,1st Week,4,Q2,2020
24-12-2014 10:43,10,24,4th Week,12,Q4,2014
24-12-2019 03:34,3,24,4th Week,12,Q4,2019
10-07-2020 13:04,13,10,2nd Week,7,Q3,2020
07-05-2019 07:45,7,7,1st Week,5,Q2,2019
13-04-2015 23:27,23,13,2nd Week,4,Q2,2015
08-06-2015 14:14,14,8,2nd Week,6,Q2,2015
30-12-2017 17:41,17,30,4th Week,12,Q4,2017
28-01-2015 11:58,11,28,4th Week,1,Q1,2015
11-03-2020 09:51,9,11,2nd Week,3,Q1,2020
22-08-2016 13:43,13,22,4th Week,8,Q3,2016
10-12-2017 06:32,6,10,2nd Week,12,Q4,2017
08-09-2020 22:47,22,8,2nd Week,9,Q3,2020
04-03-2020 10:43,10,4,1st Week,3,Q1,2020
30-12-2020 02:28,2,30,4th Week,12,Q4,2020
14-07-2015 18:14,18,14,2nd Week,7,Q3,2015
28-09-2018 13:01,13,28,4th Week,9,Q3,2018
18-06-2018 00:02,0,18,3rd Week,6,Q2,2018
12-04-2018 13:10,13,12,2nd Week,4,Q2,2018
23-07-2015 11:07,11,23,4th Week,7,Q3,2015
19-01-2015 20:58,20,19,3rd Week,1,Q1,2015
09-03-2016 21:11,21,9,2nd Week,3,Q1,2016
12-02-2014 15:06,15,12,2nd Week,2,Q1,2014
30-04-2014 19:28,19,30,4th Week,4,Q2,2014
11-03-2020 13:36,13,11,2nd Week,3,Q1,2020
23-06-2019 16:06,16,23,4th Week,6,Q2,2019
24-05-2019 23:48,23,24,4th Week,5,Q2,2019
10-05-2015 08:22,8,10,2nd Week,5,Q2,2015
20-02-2015 10:48,10,20,3rd Week,2,Q1,2015
08-05-2014 13:47,13,8,2nd Week,5,Q2,2014
05-02-2019 15:37,15,5,1st Week,2,Q1,2019
15-02-2017 17:02,17,15,3rd Week,2,Q1,2017
25-04-2016 02:45,2,25,4th Week,4,Q2,2016
19-05-2017 09:07,9,19,3rd Week,5,Q2,2017
11-03-2014 09:07,9,11,2nd Week,3,Q1,2014
21-05-2016 02:46,2,21,3rd Week,5,Q2,2016
29-07-2019 14:37,14,29,4th Week,7,Q3,2019
26-02-2015 22:34,22,26,4th Week,2,Q1,2015
14-09-2018 16:30,16,14,2nd Week,9,Q3,2018
01-03-2019 22:45,22,1,1st Week,3,Q1,2019
12-09-2019 21:30,21,12,2nd Week,9,Q3,2019
23-04-2018 21:04,21,23,4th Week,4,Q2,2018
25-07-2017 13:54,13,25,4th Week,7,Q3,2017
24-09-2017 01:30,1,24,4th Week,9,Q3,2017
31-01-2020 19:32,19,31,4th Week,1,Q1,2020
23-04-2018 03:49,3,23,4th Week,4,Q2,2018
22-09-2014 19:04,19,22,4th Week,9,Q3,2014
24-12-2015 16:20,16,24,4th Week,12,Q4,2015
10-07-2017 19:30,19,10,2nd Week,7,Q3,2017
07-07-2018 13:15,13,7,1st Week,7,Q3,2018
11-09-2017 17:50,17,11,2nd Week,9,Q3,2017
26-10-2019 20:12,20,26,4th Week,10,Q4,2019
24-09-2018 20:02,20,24,4th Week,9,Q3,2018
23-01-2019 23:37,23,23,4th Week,1,Q1,2019
28-04-2014 09:11,9,28,4th Week,4,Q2,2014
05-03-2016 19:23,19,5,1st Week,3,Q1,2016
25-04-2014 08:31,8,25,4th Week,4,Q2,2014
27-09-2015 18:12,18,27,4th Week,9,Q3,2015
04-12-2017 19:10,19,4,1st Week,12,Q4,2017
20-09-2017 06:03,6,20,3rd Week,9,Q3,2017
16-02-2017 19:46,19,16,3rd Week,2,Q1,2017
31-07-2017 20:26,20,31,4th Week,7,Q3,2017
23-02-2014 21:09,21,23,4th Week,2,Q1,2014
24-04-2019 23:57,23,24,4th Week,4,Q2,2019
13-07-2016 09:51,9,13,2nd Week,7,Q3,2016
11-01-2017 08:46,8,11,2nd Week,1,Q1,2017
04-07-2019 19:21,19,4,1st Week,7,Q3,2019
01-09-2014 08:44,8,1,1st Week,9,Q3,2014
27-09-2020 15:28,15,27,4th Week,9,Q3,2020
25-03-2014 09:07,9,25,4th Week,3,Q1,2014
23-12-2014 22:11,22,23,4th Week,12,Q4,2014
30-12-2016 18:37,18,30,4th Week,12,Q4,2016
03-02-2019 02:49,2,3,1st Week,2,Q1,2019
13-01-2015 14:14,14,13,2nd Week,1,Q1,2015
21-07-2019 23:01,23,21,3rd Week,7,Q3,2019
30-05-2014 16:15,16,30,4th Week,5,Q2,2014
18-12-2015 05:34,5,18,3rd Week,12,Q4,2015
22-10-2020 08:56,8,22,4th Week,10,Q4,2020
13-07-2018 16:52,16,13,2nd Week,7,Q3,2018
05-12-2017 07:17,7,5,1st Week,12,Q4,2017
23-01-2018 04:20,4,23,4th Week,1,Q1,2018
11-11-2018 05:34,5,11,2nd Week,11,Q4,2018
13-06-2014 08:20,8,13,2nd Week,6,Q2,2014
12-03-2020 03:41,3,12,2nd Week,3,Q1,2020
09-05-2020 21:28,21,9,2nd Week,5,Q2,2020
09-04-2018 07:00,7,9,2nd Week,4,Q2,2018
07-07-2016 19:02,19,7,1st Week,7,Q3,2016
31-07-2018 15:05,15,31,4th Week,7,Q3,2018
06-11-2020 21:09,21,6,1st Week,11,Q4,2020
27-08-2020 11:02,11,27,4th Week,8,Q3,2020
04-12-2016 13:17,13,4,1st Week,12,Q4,2016
07-09-2015 17:54,17,7,1st Week,9,Q3,2015
06-08-2014 00:29,0,6,1st Week,8,Q3,2014
04-11-2018 16:21,16,4,1st Week,11,Q4,2018
15-07-2014 03:06,3,15,3rd Week,7,Q3,2014
02-04-2017 03:53,3,2,1st Week,4,Q2,2017
23-07-2015 05:45,5,23,4th Week,7,Q3,2015
07-01-2020 12:23,12,7,1st Week,1,Q1,2020
12-02-2020 17:01,17,12,2nd Week,2,Q1,2020
28-08-2018 19:26,19,28,4th Week,8,Q3,2018
10-12-2018 06:18,6,10,2nd Week,12,Q4,2018
14-02-2015 02:05,2,14,2nd Week,2,Q1,2015
15-01-2019 06:32,6,15,3rd Week,1,Q1,2019
25-12-2014 03:01,3,25,4th Week,12,Q4,2014
05-01-2020 20:30,20,5,1st Week,1,Q1,2020
06-11-2016 20:18,20,6,1st Week,11,Q4,2016
14-08-2015 11:55,11,14,2nd Week,8,Q3,2015
28-01-2019 05:37,5,28,4th Week,1,Q1,2019
13-01-2017 07:23,7,13,2nd Week,1,Q1,2017
10-11-2016 22:30,22,10,2nd Week,11,Q4,2016
21-09-2019 02:10,2,21,3rd Week,9,Q3,2019
07-12-2018 13:43,13,7,1st Week,12,Q4,2018
27-04-2018 18:35,18,27,4th Week,4,Q2,2018
04-10-2020 12:41,12,4,1st Week,10,Q4,2020
19-02-2014 21:13,21,19,3rd Week,2,Q1,2014
20-09-2016 10:57,10,20,3rd Week,9,Q3,2016
18-12-2016 20:24,20,18,3rd Week,12,Q4,2016
23-12-2019 23:59,23,23,4th Week,12,Q4,2019
02-06-2014 17:16,17,2,1st Week,6,Q2,2014
23-01-2020 19:46,19,23,4th Week,1,Q1,2020
29-08-2020 23:04,23,29,4th Week,8,Q3,2020
08-08-2016 16:41,16,8,2nd Week,8,Q3,2016
21-03-2014 22:12,22,21,3rd Week,3,Q1,2014
19-09-2018 23:46,23,19,3rd Week,9,Q3,2018
27-03-2016 22:43,22,27,4th Week,3,Q1,2016
08-12-2015 07:05,7,8,2nd Week,12,Q4,2015
04-08-2015 20:48,20,4,1st Week,8,Q3,2015
23-04-2018 07:23,7,23,4th Week,4,Q2,2018
07-02-2019 01:21,1,7,1st Week,2,Q1,2019
05-06-2019 14:34,14,5,1st Week,6,Q2,2019
05-03-2018 16:28,16,5,1st Week,3,Q1,2018
18-03-2015 21:23,21,18,3rd Week,3,Q1,2015
06-05-2017 14:32,14,6,1st Week,5,Q2,2017
27-03-2016 05:13,5,27,4th Week,3,Q1,2016
21-05-2019 22:14,22,21,3rd Week,5,Q2,2019
23-05-2017 21:29,21,23,4th Week,5,Q2,2017
21-12-2020 10:05,10,21,3rd Week,12,Q4,2020
11-10-2019 21:20,21,11,2nd Week,10,Q4,2019
19-09-2018 16:58,16,19,3rd Week,9,Q3,2018
28-06-2017 18:27,18,28,4th Week,6,Q2,2017
15-04-2020 17:39,17,15,3rd Week,4,Q2,2020
08-07-2015 00:35,0,8,2nd Week,7,Q3,2015
30-12-2015 06:13,6,30,4th Week,12,Q4,2015
16-09-2020 16:23,16,16,3rd Week,9,Q3,2020
22-03-2015 19:30,19,22,4th Week,3,Q1,2015
17-09-2019 14:06,14,17,3rd Week,9,Q3,2019
03-01-2019 14:37,14,3,1st Week,1,Q1,2019
04-12-2018 04:21,4,4,1st Week,12,Q4,2018
19-05-2019 12:30,12,19,3rd Week,5,Q2,2019
05-07-2014 00:41,0,5,1st Week,7,Q3,2014
17-06-2015 14:08,14,17,3rd Week,6,Q2,2015
07-10-2016 22:05,22,7,1st Week,10,Q4,2016
04-03-2020 07:08,7,4,1st Week,3,Q1,2020
25-01-2020 22:57,22,25,4th Week,1,Q1,2020
14-06-2017 11:24,11,14,2nd Week,6,Q2,2017
05-10-2016 20:45,20,5,1st Week,10,Q4,2016
07-03-2014 11:49,11,7,1st Week,3,Q1,2014
04-05-2015 13:27,13,4,1st Week,5,Q2,2015
20-01-2021 07:04,7,20,3rd Week,1,Q1,2021
14-06-2019 23:49,23,14,2nd Week,6,Q2,2019
21-06-2018 12:30,12,21,3rd Week,6,Q2,2018
30-05-2016 08:22,8,30,4th Week,5,Q2,2016
28-05-2016 01:18,1,28,4th Week,5,Q2,2016
30-05-2015 22:46,22,30,4th Week,5,Q2,2015
06-03-2014 19:28,19,6,1st Week,3,Q1,2014
18-03-2016 00:43,0,18,3rd Week,3,Q1,2016
19-06-2017 18:45,18,19,3rd Week,6,Q2,2017
19-09-2015 05:05,5,19,3rd Week,9,Q3,2015
07-02-2018 01:20,1,7,1st Week,2,Q1,2018
18-11-2019 16:18,16,18,3rd Week,11,Q4,2019
14-03-2016 17:17,17,14,2nd Week,3,Q1,2016
07-01-2018 09:19,9,7,1st Week,1,Q1,2018
16-11-2016 07:42,7,16,3rd Week,11,Q4,2016
02-02-2015 19:11,19,2,1st Week,2,Q1,2015
21-03-2018 04:17,4,21,3rd Week,3,Q1,2018
08-10-2018 18:52,18,8,2nd Week,10,Q4,2018
04-06-2015 06:44,6,4,1st Week,6,Q2,2015
23-12-2019 14:51,14,23,4th Week,12,Q4,2019
18-03-2019 21:12,21,18,3rd Week,3,Q1,2019
15-05-2016 23:36,23,15,3rd Week,5,Q2,2016
09-12-2020 17:38,17,9,2nd Week,12,Q4,2020
02-10-2016 14:30,14,2,1st Week,10,Q4,2016
04-01-2016 04:28,4,4,1st Week,1,Q1,2016
18-04-2014 16:58,16,18,3rd Week,4,Q2,2014
23-05-2020 18:58,18,23,4th Week,5,Q2,2020
27-01-2019 14:08,14,27,4th Week,1,Q1,2019
09-02-2020 21:34,21,9,2nd Week,2,Q1,2020
04-10-2019 15:58,15,4,1st Week,10,Q4,2019
28-05-2018 03:51,3,28,4th Week,5,Q2,2018
28-10-2018 01:54,1,28,4th Week,10,Q4,2018
01-06-2014 03:22,3,1,1st Week,6,Q2,2014
03-12-2017 05:02,5,3,1st Week,12,Q4,2017
24-08-2016 00:53,0,24,4th Week,8,Q3,2016
29-12-2018 16:30,16,29,4th Week,12,Q4,2018
22-07-2018 11:24,11,22,4th Week,7,Q3,2018
09-11-2019 01:09,1,9,2nd Week,11,Q4,2019
22-02-2019 11:16,11,22,4th Week,2,Q1,2019
24-11-2015 10:05,10,24,4th Week,11,Q4,2015
27-09-2017 06:01,6,27,4th Week,9,Q3,2017
17-04-2020 16:37,16,17,3rd Week,4,Q2,2020
04-09-2016 12:38,12,4,1st Week,9,Q3,2016
17-08-2020 11:56,11,17,3rd Week,8,Q3,2020
11-03-2020 02:19,2,11,2nd Week,3,Q1,2020
